product_type,sku,product_name,short_description,long_description,stock_levels,category,images
CA,840469851-1,"Signal, The",risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,34,Sci-Fi|Thriller,http://dummyimage.com/183x100.png/ff4444/ffffff
CN,082955861-6,Prophet's Prey,eu nibh quisque id justo sit amet sapien dignissim vestibulum,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,26,Crime|Documentary,http://dummyimage.com/124x100.png/ff4444/ffffff
CN,499947557-X,"Secret Life of Walter Mitty, The",nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,22,Adventure|Comedy|Drama,http://dummyimage.com/129x100.png/dddddd/000000
BY,014253561-3,EDtv,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,47,Comedy,http://dummyimage.com/227x100.png/ff4444/ffffff
BR,674401125-1,Crocodile Dundee II,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,16,Action|Adventure|Comedy,http://dummyimage.com/160x100.png/dddddd/000000
SE,218430472-7,"Carpenter, The",libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,14,Horror|Thriller,http://dummyimage.com/225x100.png/ff4444/ffffff
SY,297448346-1,From the East (D'Est),turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,23,Documentary,http://dummyimage.com/176x100.png/dddddd/000000
CU,271225215-2,Allegheny Uprising,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,40,Action|Adventure|Western,http://dummyimage.com/162x100.png/cc0000/ffffff
LU,836726674-9,Another Gay Movie,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,30,Comedy,http://dummyimage.com/104x100.png/5fa2dd/ffffff
PH,882090997-9,"Deeper Shade of Blue, A",lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,3,Documentary,http://dummyimage.com/168x100.png/dddddd/000000
FR,215526921-8,"Parent Trap, The",in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,50,Children|Comedy|Romance,http://dummyimage.com/194x100.png/dddddd/000000
CN,511269442-4,"Secret Life of Zoey, The",aliquam non mauris morbi non lectus aliquam sit amet diam in magna,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,23,Drama,http://dummyimage.com/101x100.png/5fa2dd/ffffff
ID,334065985-0,Inkheart,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,19,Adventure|Fantasy,http://dummyimage.com/175x100.png/dddddd/000000
